_id,scanType,SSID,isAttendance,loc,name,round,roundType,scanTime,timeGap,user,company,createdAt,extraInfo.url
5e10d743c6113b0013eb2122,regular,ERWAT_MainGate(85.0),FALSE,"c(-26.0194335, 28.2853679)",Laboratory Parking,0,circular,2020-01-04T18:19:41Z,1hr 4min,592e9a13b1bc36000430b266,592e9549b1bc36000430b252,2020-01-04T18:19:47Z,
5e10d745c6113b0013eb2123,regular,NA(64.0),FALSE,"c(-26.1590655, 28.3564906)",Guard House,5,circular,2020-01-04T18:19:43Z,1hr 3min,592e99e0b1bc36000430b265,592e9549b1bc36000430b252,2020-01-04T18:19:49Z,
5e10d747c6113b0013eb2124,regular,NIMR(29.0),FALSE,"c(6.5142303, 3.3712042)",NIMR-Second Floor,13,circular,2020-01-04T18:19:48Z,0hr 10min,5bb647241a6a2000133d7997,5ba8d9c75b182d0013e0f898,2020-01-04T18:19:51Z,
5e110e71c6113b0013eb24a5,regular,pladis_NG_Guest(21.0),FALSE,"c(6.6065857, 3.3141841)",A&P DOPEMU A_ENGINEERING,19,circular,2020-01-04T18:19:52Z,0hr 58min,5ce823293581bf0013b44647,5ce822623581bf0013b4463b,2020-01-04T22:15:13Z,
5e10d75bc6113b0013eb2125,regular,Ekurhuleni Free WIFI(51.0),FALSE,"c(-26.3768271, 28.3656192)",Scrum Pump,5,circular,2020-01-04T18:20:06Z,1hr 11min,592e9857b1bc36000430b25c,592e9549b1bc36000430b252,2020-01-04T18:20:11Z,
5e10d75fc6113b0013eb2126,regular,NA(54.000004),FALSE,"c(-26.5407036, 28.330059)",Wall Fencing,7,circular,2020-01-04T18:20:12Z,1hr 7min,592e97beb1bc36000430b259,592e9549b1bc36000430b252,2020-01-04T18:20:15Z,
5e10d764c6113b0013eb2127,regular,NA(82.0),FALSE,"c(-26.3261783, 28.1654933)",Section 3&4,9,circular,2020-01-04T18:20:16Z,1hr 14min,592e9908b1bc36000430b260,592e9549b1bc36000430b252,2020-01-04T18:20:20Z,
5e10d771c6113b0013eb2129,regular,VODACOM-B315-8BE9(76.0),FALSE,"c(-26.169873, 28.397019)",Behind Workshop,8,circular,2020-01-04T18:20:29Z,1hr 6min,592e9760b1bc36000430b257,592e9549b1bc36000430b252,2020-01-04T18:20:33Z,
5e10d770c6113b0013eb2128,regular,NIMR(28.0),FALSE,"c(6.5142647, 3.3718923)",NIMR-First Floor,13,circular,2020-01-04T18:20:29Z,0hr 12min,5bb647241a6a2000133d7997,5ba8d9c75b182d0013e0f898,2020-01-04T18:20:32Z,
5e10d777c6113b0013eb212a,regular,NVRAM WARNING: Err = 0x10(82.0),FALSE,"c(-26.0188113, 28.2814975)",Farm House Parking,0,circular,2020-01-04T18:20:36Z,1hr 0min,592e99bfb1bc36000430b264,592e9549b1bc36000430b252,2020-01-04T18:20:39Z,
